auc,mrr,ndcg@5,ndcg@10,recall@5,recall@10,recall@50,recall@100,recall@200,diversity@50,diversity@100,novelty@50,novelty@100,user_id,history_len
0.27638190954773867,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.14,0.08,0.58,0.71,383378,47
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.84,0.92,387363,8
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.76,0.88,389743,12
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.74,0.87,392101,13
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.52,0.76,394345,25
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.94,0.97,399574,3
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.12,0.88,0.94,402756,6
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.84,0.92,404711,8
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.86,0.93,405547,7
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.74,0.87,406058,14
0.6984924623115578,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.18,0.09,0.52,0.7,407553,48
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.8,0.9,409937,11
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.54,0.75,411326,31
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.56,0.73,411733,30
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.9,0.95,412247,5
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.12,0.52,0.72,412478,43
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.6,0.75,413278,39
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.86,0.93,413530,7
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.56,0.75,413654,29
0.5577889447236181,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.16,0.1,0.58,0.79,416399,22
0.6212121212121212,0.047619047619047616,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.18,0.09,0.58,0.79,416664,21
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.96,0.98,416750,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.09,0.94,0.97,417192,3
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.66,0.83,420583,20
0.5628140703517588,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.03125,0.03125,0.12,0.1,0.82,0.91,420668,9
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.98,0.99,424337,1
0.5555555555555556,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.024390243902439025,0.16,0.09,0.74,0.87,425689,115
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.8,0.9,425706,10
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.09,0.8,0.9,429101,10
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.68,0.84,429848,16
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.94,0.97,431705,3
0.4090909090909091,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.14,0.08,0.96,0.98,432292,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.11,0.54,0.74,433902,35
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.9,0.95,437714,5
0.46733668341708545,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.22,0.11,0.54,0.77,438300,27
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.9,0.95,438389,5
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.74,0.87,439487,13
0.6676923076923077,0.047619047619047616,0.0,0.0,0.0,0.0,0.017241379310344827,0.06896551724137931,0.08620689655172414,0.08,0.09,0.5,0.71,441426,38
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.12,0.98,0.99,443990,1
